iter	Passed	Remaining
959	29495	1228
960	29525	1198
961	29552	1167
962	29581	1136
963	29611	1105
964	29641	1075
965	29668	1044
966	29696	1013
967	29722	982
968	29749	951
969	29777	920
970	29801	890
971	29827	859
972	29856	828
973	29881	797
974	29908	766
975	29934	736
976	29961	705
977	29986	674
978	30006	643
979	30044	613
980	30094	582
981	30144	552
982	30183	521
983	30234	491
984	30271	460
985	30301	430
986	30324	399
987	30350	368
988	30372	337
989	30394	307
990	30418	276
991	30441	245
992	30465	214
993	30486	184
994	30507	153
995	30528	122
996	30554	91
997	30576	61
998	30597	30
999	30618	0
